AAK1	A2M	0.04
AAK1	AASDHPPT	0.02
AAK1	ABAT	0.02
AAK1	ABCA13	0.02
AAK1	ABCA2	0.08
AAK1	ABCD1	0.24
AAK1	ABCD4	0.04
AAK1	ABHD10	0.04
AAK1	ABHD12B	0.02
AAK1	ABHD8	0.08
AAK1	ABL2	0.04
AAK1	ABLIM1	0.06
AAK1	AC002454.1	0.02
AAK1	AC004381.2	0.04
AAK1	AC004453.1	0.02
AAK1	AC004908.2	0.02
AAK1	AC004951.1	0.04
AAK1	AC006122.1	0.04
AAK1	AC007066.1	0.02
AAK1	AC007610.4	0.02
AAK1	AC007613.1	0.02
AAK1	AC007969.1	0.02
AAK1	AC008038.1	0.04
AAK1	AC008429.2	0.04
AAK1	AC008982.2	0.02
AAK1	AC009245.1	0.08
AAK1	AC011481.1	0.04
AAK1	AC012146.1	0.08
AAK1	AC015883.1	0.02
AAK1	AC020765.2	0.02
AAK1	AC020904.2	0.02
AAK1	AC023886.2	0.02
AAK1	AC024940.3	0.02
AAK1	AC025171.4	0.18
AAK1	AC044849.1	0.06
AAK1	AC060780.1	0.08
AAK1	AC068587.4	0.02
AAK1	AC073569.1	0.02
AAK1	AC073857.1	0.04
AAK1	AC074032.1	0.02
AAK1	AC078883.1	0.06
AAK1	AC084824.5	0.02
AAK1	AC087623.2	0.08
AAK1	AC090013.1	0.06
AAK1	AC092171.3	0.02
AAK1	AC092384.2	0.1
AAK1	AC092597.1	0.04
AAK1	AC092944.1	0.02
AAK1	AC093484.4	0.02
AAK1	AC099494.1	0.04
AAK1	AC104109.4	0.5
AAK1	AC105233.5	0.06
AAK1	AC106791.1	0.02
AAK1	AC107075.1	0.02
AAK1	AC107464.3	0.02
AAK1	AC110749.1	0.08
AAK1	AC114728.1	0.02
AAK1	AC114760.2	0.02
AAK1	AC127502.1	0.02
AAK1	AC132872.1	0.14
AAK1	AC132942.1	0.02
AAK1	AC135050.6	0.12
AAK1	AC135983.2	0.02
AAK1	AC138409.1	0.02
AAK1	AC139769.1	0.02
AAK1	AC239868.1	0.12
AAK1	AC242376.2	0.02
AAK1	AC245297.3	0.02
AAK1	ACAD8	0.04
AAK1	ACAP1	0.06
AAK1	ACBD4	0.02
AAK1	ACCS	0.02
AAK1	ACSL5	0.02
AAK1	ACSS1	0.06
AAK1	ACTN4	0.24
AAK1	ACTR1B	0.04
AAK1	ACYP1	0.08
AAK1	ADAMTS10	0.02
AAK1	ADGRE5	0.02
AAK1	ADGRL1	0.1
AAK1	ADGRV1	0.02
AAK1	ADHFE1	0.02
AAK1	ADPRH	0.04
AAK1	AGAP3	0.02
AAK1	AGBL2	0.02
AAK1	AGER	0.02
AAK1	AGL	0.04
AAK1	AGO3	0.02
AAK1	AGPS	0.14
AAK1	AGTPBP1	0.02
AAK1	AGTRAP	0.04
AAK1	AK6	0.02
AAK1	AL022157.1	0.02
AAK1	AL031729.1	0.34
AAK1	AL034370.1	0.02
AAK1	AL035458.1	0.02
AAK1	AL078581.3	0.14
AAK1	AL121769.1	0.16
AAK1	AL139011.1	0.22
AAK1	AL158152.1	0.06
AAK1	AL354892.2	0.04
AAK1	AL355353.1	0.02
AAK1	AL356585.1	0.18
AAK1	AL450063.1	0.02
AAK1	AL513165.1	0.02
AAK1	AL513550.1	0.06
AAK1	AL590226.1	0.02
AAK1	AL590617.2	0.02
AAK1	AL590764.1	0.02
AAK1	AL603882.1	0.08
AAK1	AL714022.1	0.04
AAK1	ALDH1B1	0.02
AAK1	ALG12	0.02
AAK1	ALKBH2	0.02
AAK1	ALMS1	0.02
AAK1	ALOX12-AS1	0.02
AAK1	ALOX12P2	0.02
AAK1	ALS2	0.04
AAK1	ANAPC13	0.1
AAK1	ANKLE2	0.02
AAK1	ANKRD27	0.04
AAK1	ANKRD44	0.02
AAK1	ANKZF1	0.02
AAK1	ANXA2P2	0.02
AAK1	ANXA2	0.08
AAK1	ANXA4	0.08
AAK1	AP001972.5	0.02
AAK1	AP002360.1	0.02
AAK1	AP002387.2	0.04
AAK1	AP002784.2	0.02
AAK1	AP2A2	0.02
AAK1	AP3S2	0.08
AAK1	AP5Z1	0.02
AAK1	APBB3	0.12
AAK1	APOBEC3F	0.18
AAK1	APOBEC3G	0.02
AAK1	APOL3	0.02
AAK1	ARAP1	0.02
AAK1	ARFGEF2	0.02
AAK1	ARHGEF3	0.02
AAK1	ARHGEF40	0.06
AAK1	ARID1B	0.02
AAK1	ARID4B	0.04
AAK1	ARID5B	0.02
AAK1	ARL17B	0.02
AAK1	ARPC3	0.02
